Course Name,Category,Level,Description,Skills,Duration,Price,Rating,Image
Java Basics,Programming,Beginner,Learn Java fundamentals and OOP,Java OOP Backend,6 weeks,199,4.5,https://cdn-icons-png.flaticon.com/512/226/226777.png
Advanced Java,Programming,Advanced,Multithreading JVM and backend systems,Java Multithreading JVM,8 weeks,299,4.7,https://cdn-icons-png.flaticon.com/512/226/226777.png
Spring Boot,Programming,Intermediate,Build REST APIs with Spring Boot,Java Spring Backend API,6 weeks,249,4.6,https://cdn-icons-png.flaticon.com/512/919/919836.png
Python Basics,Programming,Beginner,Learn Python programming from scratch,Python Programming,5 weeks,149,4.4,https://cdn-icons-png.flaticon.com/512/5968/5968350.png
Advanced Python,Programming,Advanced,Advanced Python for backend and automation,Python Backend Automation,7 weeks,279,4.7,https://cdn-icons-png.flaticon.com/512/5968/5968350.png
Machine Learning,AI,Advanced,Supervised and unsupervised ML algorithms,Python ML AI,10 weeks,399,4.8,https://cdn-icons-png.flaticon.com/512/4149/4149647.png
Deep Learning,AI,Advanced,Neural networks CNN and RNN,AI Neural Networks,12 weeks,449,4.8,https://cdn-icons-png.flaticon.com/512/4149/4149647.png
Data Science,AI,Intermediate,Data analysis and visualization,Python Data Analysis,8 weeks,349,4.6,https://cdn-icons-png.flaticon.com/512/2103/2103633.png
NLP Fundamentals,AI,Intermediate,Natural language processing basics,NLP Python AI,7 weeks,299,4.6,https://cdn-icons-png.flaticon.com/512/4149/4149647.png
Computer Vision,AI,Advanced,Image processing and object detection,OpenCV AI Vision,9 weeks,399,4.7,https://cdn-icons-png.flaticon.com/512/4149/4149647.png
React JS,Web,Intermediate,Frontend development with React,React JavaScript Frontend,6 weeks,249,4.5,https://cdn-icons-png.flaticon.com/512/1126/1126012.png
HTML CSS JavaScript,Web,Beginner,Web development fundamentals,HTML CSS JS,5 weeks,149,4.4,https://cdn-icons-png.flaticon.com/512/841/841364.png
Angular Development,Web,Advanced,Build frontend apps with Angular,Angular TypeScript Frontend,8 weeks,299,4.6,https://cdn-icons-png.flaticon.com/512/732/732190.png
Node.js Backend,Web,Intermediate,Backend development with Node.js,Node API Backend,7 weeks,279,4.6,https://cdn-icons-png.flaticon.com/512/919/919825.png
Full Stack Development,Web,Advanced,Frontend and backend development,React Node Fullstack,12 weeks,499,4.9,https://cdn-icons-png.flaticon.com/512/919/919825.png
SQL Basics,Database,Beginner,Learn relational databases,SQL Database Backend,4 weeks,129,4.3,https://cdn-icons-png.flaticon.com/512/4248/4248443.png
Advanced SQL,Database,Advanced,Query optimization and indexing,SQL Optimization,6 weeks,249,4.6,https://cdn-icons-png.flaticon.com/512/4248/4248443.png
